[3 days ago] e254409  HOR-3590 <hjonathan>
[3 days ago] 66a0166  (origin/bugfix/HOR-3583) HOR-3583 <Roly Rudy Gutierrez Pinto>
[3 days ago] e022288  HOR-3583 <Roly Rudy Gutierrez Pinto>
[13 days ago] 6935fcf  (origin/bugfix/HOR-3536) HOR-3536 <Roly Rudy Gutierrez Pinto>
[3 weeks ago] 9244860  (origin/bugfix/HOR-3510-1) HOR-3510 <Paula Quispe>
[4 weeks ago] 7bcefb8  HOR-3436 <Roly Rudy Gutierrez Pinto>
[4 weeks ago] 32f9bba  (origin/bugfix/HOR-3462) HOR-3462 <Paula Quispe>
[5 weeks ago] 4d88886  (origin/bugfix/HOR-3450) HOR-3450 <Paula Quispe>
[5 weeks ago] 5b2471c  (origin/bugfix/HOR-3446) HOR-3403 <qronald>
[6 weeks ago] d8c5df6  (origin/bugfix/HOR-3389) HOR-3389 <Roly Rudy Gutierrez Pinto>
[7 weeks ago] 8216e63  (origin/bugfix/HOR-3388) HOR-3388 <Julio Cesar Laura Avendaño>
[7 weeks ago] ecf8b61  Observations <Paula Quispe>
[7 weeks ago] 58104ad  HOR-3375 <Julio Cesar Laura Avendaño>
[7 weeks ago] 9e01915  HOR-3350 <Paula Quispe>
[8 weeks ago] 68ef776  HOR-3351 <Paula Quispe>
[8 weeks ago] 8671c0c  Merged in bugfix/HOR-2679 (pull request #5552) <Paula Quispe>
[8 weeks ago] 7b9c1af  HOR-2725 <Julio Cesar Laura Avendaño>
[8 weeks ago] df04c08  Merged in bugfix/HOR-2889 (pull request #5548) <Paula Quispe>
[8 weeks ago] c8141b5  HOR-3082 <Roly Rudy Gutierrez Pinto>
[8 weeks ago] 7468a73  Merged in bugfix/HOR-3177 (pull request #5651) <dheeyi william>
[8 weeks ago] 4932990  HOR-3201 <Paula Quispe>
[8 weeks ago] ebbe822  HOR-3202 <Julio Cesar Laura Avendaño>
[8 weeks ago] 5ac0352  HOR-3284 <qronald>
[8 weeks ago] dda2fd8  (origin/3.2.0.patch1) HOR-3332 <hjonathan>
[9 weeks ago] 97269b8  FBI-1845: [Zendesk 4786] Click event of button field with submit form method is affecting submit buttons <Rodrigo Quelca>
[9 weeks ago] ce71044  HOR-3304 <Paula Quispe>
[9 weeks ago] d9a6799  HOR-3321 <Roly Rudy Gutierrez Pinto>
[9 weeks ago] d8ff925  Merged in bugfix/HOR-3260 (pull request #5687) <Roly>
[9 weeks ago] b2c6e4e  HOR-3065 <Paula Quispe>
[9 weeks ago] ae5886b  HOR-3178 <Roly Rudy Gutierrez Pinto>
